Category Name,Orders,Sales,Profit
Fishing,17325,6929653.69,756220.77
Cleats,24551,4431942.78,494636.92
Camping & Hiking,13729,4118425.57,427455.57
Cardio Equipment,12487,3694843.2,383011.1
Women's Apparel,21035,3147800.0,350421.03
Water Sports,15540,3113844.68,325146.96
Men's Footwear,22246,2891757.66,311902.82
Indoor/Outdoor Games,19298,2888993.91,318451.43
Shop By Sport,10984,1309522.04,129813.96
Computers,442,663000.0,69656.81
Electronics,3156,371034.64,40891.38
Cameras ,592,267607.69,30289.8
Garden,484,257768.73,33443.01
Children's Clothing,652,232829.2,27178.1
Crafts,484,223356.33,25531.17
Girls' Apparel,1201,151706.2,17288.57
Women's Clothing,650,140283.0,19102.85
Accessories,1780,133671.51,16643.52
Sporting Goods,357,117006.75,12518.61
Golf Gloves,1070,116695.39,12975.49
Music,434,113122.1,14436.32
Consumer Electronics,431,108991.28,13223.4
Golf Shoes,524,107998.0,12406.07
Health and Beauty,362,106080.48,9493.63
Kids' Golf Clubs,384,98797.58,9045.84
Baseball & Softball,632,94057.15,12762.13
Boxing & MMA,423,85205.41,8641.37
DVDs,483,79395.54,6655.43
Golf Balls,1475,77098.16,8342.67
Trade-In,974,68721.78,7915.37
Hunting & Shooting,440,56848.42,5980.0
Strength Training,111,54895.53,332.31
Hockey,614,48360.73,5397.43
Men's Golf Clubs,283,47035.8,5517.99
Tennis & Racquet,328,44585.09,5747.98
Women's Golf Clubs,181,44545.97,5028.64
Men's Clothing,208,43856.8,2006.04
Pet Supplies,492,41524.8,3589.26
Lacrosse,343,39464.79,4364.29
Fitness Accessories,309,35601.44,5258.39
Golf Apparel,441,34969.75,3496.31
Video Games,838,33310.5,2717.52
Basketball,67,27099.33,1845.67
Soccer,138,26477.05,3901.95
As Seen on  TV!,68,20597.94,714.43
Books ,405,12587.4,883.01
Baby ,207,12229.56,1525.03
Golf Bags & Carts,61,10369.39,1810.07
Toys,529,6104.66,900.71
CDs ,271,3059.59,383.85
