Month,Orders,Sales
2015-01,1787,1051590.080197363
2015-02,1585,927009.898168041
2015-03,1781,1051253.690334273
2015-04,1710,1014463.279822583
2015-05,1776,1050478.44015248
2015-06,1725,1024006.169832033
2015-07,1763,1038081.190095872
2015-08,1762,1029494.690638762
2015-09,1706,1018338.599974533
2015-10,1775,1049154.27043329
2015-11,1729,1029120.240618734
2015-12,1805,1057840.880614801
2016-01,1772,1046308.250500212
2016-02,1650,968542.849025412
2016-03,1764,1025853.120817973
2016-04,1706,1001211.579778363
2016-05,1763,1029400.200723323
2016-06,1690,1003059.550005001
2016-07,1758,1045715.620862
2016-08,1766,1048200.251113612
2016-09,1730,1002397.039938014
2016-10,1776,1048130.550406502
2016-11,1721,1047590.141074611
2016-12,1763,1037408.170125002
2017-01,1745,1029698.020147722
2017-02,1614,992534.898790352
2017-03,1782,1048004.781065341
2017-04,1739,1038321.620870051
2017-05,1763,1105485.32189609
2017-06,1676,1032086.4903108199
2017-07,1776,1104373.36097925
2017-08,1768,1109337.17125681
2017-09,1723,1143775.10762319
2017-10,2101,1073994.1690205599
2017-11,2055,626914.38366701
2017-12,2124,503910.81734302
2018-01,2123,331650.11515684
